Tm,Player,3POINTS
ATL,"Tim Hardaway",149
BOS,"Isaiah Thomas",245
BRK,"Brook Lopez",134
CHI,"Nikola Mirotic",129
CHO,"Kemba Walker",240
CLE,"Kyrie Irving",177
DAL,"Wesley Matthews",174
DEN,"Danilo Gallinari",126
DET,"Kentavious Caldwell-Pope",153
GSW,"Stephen Curry",324
HOU,"James Harden",262
IND,"Paul George",195
LAC,"J.J. Redick",201
LAL,"Nick Young",170
MEM,"Mike Conley",171
MIA,"Wayne Ellington",149
MIL,"Tony Snell",144
MIN,"Zach LaVine",120
NOP,"Langston Galloway",101
NYK,"Carmelo Anthony",151
OKC,"Russell Westbrook",200
ORL,"Evan Fournier",128
PHI,"Robert Covington",137
PHO,"Devin Booker",147
POR,"Damian Lillard",214
SAC,"DeMarcus Cousins",95
SAS,"Kawhi Leonard",147
TOR,"Kyle Lowry",193
TOT,"Lou Williams",163
UTA,"Gordon Hayward",149
WAS,"Bradley Beal",223
