Player,team,experience_years
"A.J. Hammons","Dallas Mavericks",0
"Aaron Brooks","Indiana Pacers",30
"Aaron Gordon","Orlando Magic",9
"Adreian Payne","Minnesota Timberwolves",9
"Al Horford","Boston Celtics",30
"Al-Farouq Aminu","Portland Trail Blazers",21
"Alan Williams","Phoenix Suns",3
"Alec Burks","Utah Jazz",18
"Alex Abrines","Oklahoma City Thunder",3
"Alex Poythress","Philadelphia 76ers",3
"Alexis Ajinca","New Orleans Pelicans",24
"Alonzo Gee","Denver Nuggets",21
"Anderson Varejao","Golden State Warriors",36
"Andre Drummond","Detroit Pistons",15
"Andrew Bogut","Cleveland Cavaliers",36
"Andrew Harrison","Memphis Grizzlies",3
"Andrew Nicholson","Washington Wizards",12
"Anthony Morrow","Chicago Bulls",24
"Anthony Tolliver","Sacramento Kings",27
"Axel Toupane","Milwaukee Bucks",3
"Bobby Brown","Houston Rockets",27
"Brandon Ingram","Los Angeles Lakers",3
"Brandon Jennings","New York Knicks",21
"Bruno Caboclo","Toronto Raptors",9
"Bryn Forbes","San Antonio Spurs",3
"DeAndre' Bembry","Atlanta Hawks",3
"Derrick Williams","Miami Heat",15
