Player,team,experience_years
"Aaron Brooks","Indiana Pacers",10
"Al Horford","Atlanta Hawks",10
"Al Jefferson","Indiana Pacers",13
"Alan Anderson","Washington Wizards",11
"Alec Burks","Utah Jazz",6
"Alex Abrines","Oklahoma City Thunder",1
"Alex Stepheson","Memphis Grizzlies",0
"Amir Johnson","Boston Celtics",12
"Anderson Varejao","Cleveland Cavaliers",12
"Andre Iguodala","Golden State Warriors",13
"Andre Miller","San Antonio Spurs",16
"Andre Roberson","Oklahoma City Thunder",4
"Andrew Bogut","Cleveland Cavaliers",12
"Andrew Goudelock","Houston Rockets",4
"Andrew Harrison","Memphis Grizzlies",1
"Andrew Nicholson","Washington Wizards",4
"Anthony Bennett","Toronto Raptors",3
"Anthony Morrow","Oklahoma City Thunder",8
"Avery Bradley","Boston Celtics",7
"Axel Toupane","Milwaukee Bucks",1
"Beno Udrih","Memphis Grizzlies",12
"Bismack Biyombo","Toronto Raptors",6
"Boban Marjanovic","San Antonio Spurs",2
"Bobby Brown","Houston Rockets",9
"Bojan Bogdanovic","Washington Wizards",3
"Boris Diaw","San Antonio Spurs",13
"Bradley Beal","Washington Wizards",5
"Brandan Wright","Memphis Grizzlies",10
"Brandon Jennings","Washington Wizards",7
"Brandon Rush","Golden State Warriors",8
"Briante Weber","Golden State Warriors",2
"Bruno Caboclo","Toronto Raptors",3
"Bryce Cotton","Memphis Grizzlies",1
"Bryn Forbes","San Antonio Spurs",1
"C.J. Miles","Indiana Pacers",12
"Cameron Payne","Oklahoma City Thunder",1
"Chandler Parsons","Memphis Grizzlies",6
"Channing Frye","Cleveland Cavaliers",12
"Chase Budinger","Indiana Pacers",6
"Chinanu Onuaku","Houston Rockets",0
"Chris Andersen","Cleveland Cavaliers",15
"Chris Copeland","Milwaukee Bucks",3
"Chris Johnson","Utah Jazz",2
"Chris McCullough","Washington Wizards",2
"Chuck Hayes","Houston Rockets",10
"Clint Capela","Houston Rockets",3
"Corey Brewer","Houston Rockets",10
"Cory Joseph","Toronto Raptors",6
"Coty Clarke","Boston Celtics",0
"Courtney Lee","Memphis Grizzlies",9
"D.J. Augustin","Oklahoma City Thunder",9
"Dahntay Jones","Cleveland Cavaliers",13
"Damian Jones","Golden State Warriors",1
"Damien Inglis","Milwaukee Bucks",0
"Daniel Ochefu","Washington Wizards",0
"Danny Green","San Antonio Spurs",8
"Dante Exum","Utah Jazz",2
"Danuel House","Washington Wizards",1
"David Lee","Boston Celtics",1
"David West","Golden State Warriors",14
"Davis Bertans","San Antonio Spurs",1
"DeAndre Liggins","Cleveland Cavaliers",6
"DeAndre' Bembry","Atlanta Hawks",1
"DeJuan Blair","Washington Wizards",6
"DeMar DeRozan","Toronto Raptors",8
"DeMarre Carroll","Toronto Raptors",8
"Dejounte Murray","San Antonio Spurs",1
"Delon Wright","Toronto Raptors",2
"Demetrius Jackson","Boston Celtics",1
"Dennis Schroder","Atlanta Hawks",4
"Deron Williams","Cleveland Cavaliers",11
"Derrick Favors","Utah Jazz",7
"Derrick Williams","Cleveland Cavaliers",5
"Dewayne Dedmon","San Antonio Spurs",4
"Deyonta Davis","Memphis Grizzlies",1
"Dion Waiters","Oklahoma City Thunder",5
"Domantas Sabonis","Oklahoma City Thunder",1
"Donatas Motiejunas","Houston Rockets",4
"Doug McDermott","Oklahoma City Thunder",3
"Draymond Green","Golden State Warriors",5
"Drew Gooden","Washington Wizards",13
"Dwight Howard","Atlanta Hawks",13
"Edy Tavares","Atlanta Hawks",1
"Elijah Millsap","Utah Jazz",2
"Elliot Williams","Memphis Grizzlies",4
"Enes Kanter","Oklahoma City Thunder",6
"Eric Gordon","Houston Rockets",9
"Erick Green","Utah Jazz",1
"Ersan Ilyasova","Atlanta Hawks",11
"Evan Turner","Boston Celtics",7
"Festus Ezeli","Golden State Warriors",3
"Fred VanVleet","Toronto Raptors",1
"Garrett Temple","Washington Wizards",8
"Gary Neal","Atlanta Hawks",6
"Gary Payton","Milwaukee Bucks",16
"George Hill","Indiana Pacers",9
"Georges Niang","Indiana Pacers",0
"Gerald Green","Boston Celtics",11
"Giannis Antetokounmpo","Milwaukee Bucks",4
"Glenn Robinson","Indiana Pacers",10
"Gordon Hayward","Utah Jazz",7
"Greg Monroe","Milwaukee Bucks",7
"Greivis Vasquez","Milwaukee Bucks",6
"Harrison Barnes","Golden State Warriors",5
"Ian Clark","Golden State Warriors",4
"Ian Mahinmi","Indiana Pacers",10
"Iman Shumpert","Cleveland Cavaliers",6
"Isaiah Taylor","Houston Rockets",1
"Isaiah Thomas","Boston Celtics",5
"J.J. Hickson","Washington Wizards",7
"J.J. O'Brien","Utah Jazz",0
"J.R. Smith","Cleveland Cavaliers",13
"JaMychal Green","Memphis Grizzlies",3
"JaVale McGee","Golden State Warriors",9
"Jabari Parker","Milwaukee Bucks",2
"Jae Crowder","Boston Celtics",5
"Jakob Poeltl","Toronto Raptors",1
"James Ennis","Memphis Grizzlies",3
"James Harden","Houston Rockets",8
"James Johnson","Toronto Raptors",8
"James Jones","Cleveland Cavaliers",13
"James Michael","Golden State Warriors",
"James Young","Boston Celtics",2
"Jared Cunningham","Cleveland Cavaliers",3
"Jared Dudley","Washington Wizards",10
"Jared Sullinger","Boston Celtics",4
"Jarell Eddie","Washington Wizards",1
"Jarell Martin","Memphis Grizzlies",2
"Jarnell Stokes","Memphis Grizzlies",2
"Jason Smith","Washington Wizards",10
"Jason Terry","Houston Rockets",18
"Jason Thompson","Golden State Warriors",7
"Jaylen Brown","Boston Celtics",1
"Jeff Green","Memphis Grizzlies",10
"Jeff Teague","Atlanta Hawks",8
"Jeff Withey","Utah Jazz",4
"Jerami Grant","Oklahoma City Thunder",3
"Jerryd Bayless","Milwaukee Bucks",9
"Joe Harris","Cleveland Cavaliers",3
"Joe Ingles","Utah Jazz",3
"Joe Johnson","Utah Jazz",16
"Joe Young","Indiana Pacers",2
"Joel Anthony","San Antonio Spurs",9
"Joel Bolomboy","Utah Jazz",1
"Joffrey Lauvergne","Oklahoma City Thunder",3
"John Henson","Milwaukee Bucks",5
"John Wall","Washington Wizards",7
"Johnny O'Bryant","Milwaukee Bucks",3
"Jonas Jerebko","Boston Celtics",8
"Jonas Valanciunas","Toronto Raptors",5
"Jonathon Simmons","San Antonio Spurs",2
"Jordan Adams","Memphis Grizzlies",1
"Jordan Farmar","Memphis Grizzlies",10
"Jordan Hill","Indiana Pacers",7
"Jordan McRae","Cleveland Cavaliers",1
"Jordan Mickey","Boston Celtics",2
"Jose Calderon","Atlanta Hawks",12
