Team_Name,Times_Win,Times_Lose
,,
"Atlanta Hawks",22304,27040
"Boston Celtics",25530,20700
"Charlotte Hornets",5640,5840
"Chicago Bulls",23296,26048
"Cleveland Cavaliers",15040,15800
"Dallas Mavericks",27840,18420
"Denver Nuggets",33852,30912
"Detroit Pistons",20488,19604
"Golden State Warriors",19320,17688
"Houston Rockets",23244,16848
"Indiana Pacers",26272,23040
"Los Angeles Clippers",11220,13060
"Los Angeles Lakers",34692,30072
"Memphis Grizzlies",15202,16918
"Miami Heat",28764,23664
"Milwaukee Bucks",20132,23044
"Minnesota Timberwolves",25960,35720
"New Orleans Pelicans",896,1072
"New York Knicks",17416,25760
"Oklahoma City Thunder",12912,8352
"Orlando Magic",17280,19728
"Philadelphia 76ers",30448,37400
"Phoenix Suns",27504,28008
"Portland Trail Blazers",19584,17424
"Sacramento Kings",20970,25290
"San Antonio Spurs",38952,16560
"Toronto Raptors",18408,18600
"Utah Jazz",33160,28520
"Washington Wizards",18508,24668
